시군구명,주차장명,위도,경도
창원시,한마음 노상,35.229545,128.680771
창원시,한서병원앞 노상,35.227588,128.679436
창원시,대방황토방앞,35.208288,128.706877
창원시,삼원회관 노외,35.223141,128.685786
창원시,롯데메디컬 앞 노외,35.224014,128.684071
창원시,상남 제2 노외,35.219824,128.679886
창원시,상남 제1노외,35.219053,128.681694
창원시,시민생활체육관 뒤,35.222377,128.687944
창원시,경창상가앞 노외,35.220725,128.679293
창원시,상남동 복합공영주차빌딩,35.222425,128.680945
창원시,중앙입체주차장,35.22893,128.676943
창원시,회산교,35.216568,128.570488
창원시,오동동문화광장 공영주차장,35.206583,128.577022
창원시,자산동,35.204086,128.566807
창원시,산호천 노상,35.23031,128.584347
창원시,삼계 공영주차장,35.233394,128.503347
창원시,내서읍공영무료주차장,35.250888,128.522843
창원시,석전동 공영주차장,35.228038,128.568323
창원시,회성동 노외주차장,35.238442,128.555319
창원시,회원 공영주차장,35.223845,128.570596
창원시,용원동 복합공영주차빌딩,35.100355,128.814336
창원시,충무동새벽시장공영주차장,35.093004,129.024909
창원시,서상2지구,35.247396,128.622394
창원시,서상1지구,35.256624,128.608986
창원시,팔룡동 복합공영주차빌딩,35.235408,128.64269
창원시,창원공고뒤공영유료주차장,35.236237,128.642799
창원시,창원종합버스터미널,35.236907,128.63941
창원시,합성동상가주차장,35.237568,128.584854
김해시,금병공원,35.29389088,128.7378306
김해시,주촌면 공영주차장,35.236101,128.830715
김해시,지내동 못안마을,35.235367,128.920902
김해시,지내동공단,35.226237,128.922254
김해시,진영 거성아파트,35.304853,128.714082
김해시,진영 농공단지,35.320779,128.7589598
김해시,진영읍 밀포마을,35.312326,128.716767
김해시,칠산초등학교주변,35.208954,128.850395
김해시,테크노밸리 개동주차장,35.261289,128.773463
김해시,테크노밸리 상우주차장,35.270685,128.774973
김해시,테크노밸리 상평주차장,35.260309,128.7704604
김해시,병동농공단지 주변,35.286822,128.790933
김해시,봉하마을,35.313506,128.770159
김해시,봉황2통,35.22901008,128.877891
김해시,봉황동 수릉원 맞은편,35.234349,128.875624
김해시,봉황동 축협 옆,35.230486,128.878705
김해시,삼방 신어공원 주변,35.245307,128.912772
김해시,삼방초등학교 맞은편,35.248065,128.909958
김해시,상동 대감마을,35.307785,128.930861
김해시,상동면 우계마을,35.313046,128.906861
김해시,생림면 마현마을,35.341718,128.846498
김해시,서어지공원 임시공영주차장,35.308278,128.731123
김해시,서천마을 공동주차장,35.26827973,128.712903
김해시,수영마을,35.224303,128.910765
김해시,유하공원,35.205654,128.809141
김해시,주촌 내삼마을 마을공동주차장,35.236148,128.814313
김해시,생림공원,35.327999,128.848056
